#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance
2230	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	16	-1	0	-1	1	0.515064	-1	0	0	0	A1B1-01	N/A	./TR-PTAs-UPLC-0105.pklbin2230	-1	TC-ISDB-o.mgf	0.236438	N/A	N/A	N/A	9	0
2230	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	25	-1	0	-1	1	0.509016	-1	0	0	0	A1B3-01	N/A	./TR-PTAs-UPLC-0105.pklbin2230	-1	TC-ISDB-o.mgf	0.236438	N/A	N/A	N/A	10	0
2058	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	134	-1	0	-1	1	0.519203	-1	0	0	0	A1B25-05	N/A	./TR-PTAs-UPLC-0105.pklbin2058	-1	TC-ISDB-o.mgf	1.00993	N/A	N/A	N/A	19	0
2059	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	134	-1	0	-1	1	0.519203	-1	0	0	0	A1B25-05	N/A	./TR-PTAs-UPLC-0105.pklbin2059	-1	TC-ISDB-o.mgf	1.00993	N/A	N/A	N/A	19	0
2134	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	645	-1	0	-1	1	0.562667	-1	0	0	0	A4B30-01	N/A	./TR-PTAs-UPLC-0105.pklbin2134	-1	TC-ISDB-o.mgf	3.1368	N/A	N/A	N/A	33	0
1967	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	624	-1	0	-1	1	0.588386	-1	0	0	0	A4B25-05	N/A	./TR-PTAs-UPLC-0105.pklbin1967	-1	TC-ISDB-o.mgf	1.8064	N/A	N/A	N/A	28	0
1967	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	623	-1	0	-1	1	0.533777	-1	0	0	0	A4B25-04	N/A	./TR-PTAs-UPLC-0105.pklbin1967	-1	TC-ISDB-o.mgf	1.8064	N/A	N/A	N/A	24	0
1390	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	134	-1	0	-1	1	0.582458	-1	0	0	0	A1B25-05	N/A	./TR-PTAs-UPLC-0105.pklbin1390	-1	TC-ISDB-o.mgf	0.336643	N/A	N/A	N/A	21	0
1390	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	133	-1	0	-1	1	0.555829	-1	0	0	0	A1B25-04	N/A	./TR-PTAs-UPLC-0105.pklbin1390	-1	TC-ISDB-o.mgf	0.336643	N/A	N/A	N/A	20	0
1390	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	132	-1	0	-1	1	0.502099	-1	0	0	0	A1B25-03	N/A	./TR-PTAs-UPLC-0105.pklbin1390	-1	TC-ISDB-o.mgf	0.336643	N/A	N/A	N/A	24	0
1976	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	506	-1	0	-1	1	0.648278	-1	0	0	0	A4B1-01	N/A	./TR-PTAs-UPLC-0105.pklbin1976	-1	TC-ISDB-o.mgf	7.35953	N/A	N/A	N/A	22	0
1976	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	507	-1	0	-1	1	0.633769	-1	0	0	0	A4B1-02	N/A	./TR-PTAs-UPLC-0105.pklbin1976	-1	TC-ISDB-o.mgf	7.35953	N/A	N/A	N/A	22	0
1976	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	512	-1	0	-1	1	0.609209	-1	0	0	0	A4B2-02	N/A	./TR-PTAs-UPLC-0105.pklbin1976	-1	TC-ISDB-o.mgf	7.35953	N/A	N/A	N/A	29	0
303	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	222	-1	0	-1	1	0.591402	-1	0	0	0	A2B9-01	N/A	./TR-PTAs-UPLC-0105.pklbin303	-1	TC-ISDB-o.mgf	0.2681	N/A	N/A	N/A	29	0
303	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	247	-1	0	-1	1	0.586752	-1	0	0	0	A2B14-03	N/A	./TR-PTAs-UPLC-0105.pklbin303	-1	TC-ISDB-o.mgf	0.2681	N/A	N/A	N/A	36	0
303	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	261	-1	0	-1	1	0.581258	-1	0	0	0	A2B17-03	N/A	./TR-PTAs-UPLC-0105.pklbin303	-1	TC-ISDB-o.mgf	0.2681	N/A	N/A	N/A	25	0
303	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	304	-1	0	-1	1	0.580306	-1	0	0	0	A2B26-01	N/A	./TR-PTAs-UPLC-0105.pklbin303	-1	TC-ISDB-o.mgf	0.2681	N/A	N/A	N/A	34	0
303	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	255	-1	0	-1	1	0.571017	-1	0	0	0	A2B16-02	N/A	./TR-PTAs-UPLC-0105.pklbin303	-1	TC-ISDB-o.mgf	0.2681	N/A	N/A	N/A	34	0
1427	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	222	-1	0	-1	1	0.565872	-1	0	0	0	A2B9-01	N/A	./TR-PTAs-UPLC-0105.pklbin1427	-1	TC-ISDB-o.mgf	0.0670251	N/A	N/A	N/A	22	0
1427	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	247	-1	0	-1	1	0.546526	-1	0	0	0	A2B14-03	N/A	./TR-PTAs-UPLC-0105.pklbin1427	-1	TC-ISDB-o.mgf	0.0670251	N/A	N/A	N/A	28	0
1427	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	261	-1	0	-1	1	0.541081	-1	0	0	0	A2B17-03	N/A	./TR-PTAs-UPLC-0105.pklbin1427	-1	TC-ISDB-o.mgf	0.0670251	N/A	N/A	N/A	15	0
1427	./TR-PTAs-UPLC-0105.pklbin	*..*	 	 	304	-1	0	-1	1	0.526904	-1	0	0	0	A2B26-01	N/A	./TR-PTAs-UPLC-0105.pklbin1427	-1	TC-ISDB-o.mgf	0.0670251	N/A	N/A	N/A	24	0
